symbol,type,entry_time,exit_time,profit_pct,profit_abs,balance
BTC/USDT,long,2025-10-05 03:00:00,2025-10-05 15:00:00,-0.936136464661793,-3.7445458586471716,1996.2554541413529
BTC/USDT,long,2025-10-06 17:00:00,2025-10-07 06:00:00,-1.2620015325181217,-5.038554884848093,1991.2168992565048
BTC/USDT,short,2025-10-16 09:00:00,2025-10-17 06:00:00,3.8132714752293606,15.186101205858971,2006.4030004623637
BTC/USDT,long,2025-10-21 14:00:00,2025-10-21 22:00:00,-2.9168053959275646,-11.704574196307757,1994.698426266056
BTC/USDT,long,2025-10-24 12:00:00,2025-10-24 14:00:00,-1.1184357198814208,-4.461883940654427,1990.2365423254016
BTC/USDT,long,2025-10-26 11:00:00,2025-10-27 00:00:00,1.1574862059410798,4.607342688603045,1994.8438850140046
BTC/USDT,long,2025-10-27 06:00:00,2025-10-27 14:00:00,-1.2214369727269747,-4.8731521519488465,1989.9707328620557
BTC/USDT,long,2025-11-09 22:00:00,2025-11-11 16:00:00,-1.4228143170103515,-5.662717698295429,1984.3080151637603
BTC/USDT,long,2025-11-27 02:00:00,2025-12-01 00:00:00,-4.9527661033507195,-19.655626952220437,1964.6523882115398
BTC/USDT,short,2025-12-07 14:00:00,2025-12-07 15:00:00,-1.6621083493830804,-6.53093027616362,1958.1214579353762
BTC/USDT,long,2025-12-07 18:00:00,2025-12-07 22:00:00,-2.083753178776097,-8.160483624805051,1949.9609743105711
BTC/USDT,short,2025-12-14 11:00:00,2025-12-14 23:00:00,1.1792636526410045,4.599036202145793,1954.5600105127169
BTC/USDT,long,2025-12-18 13:00:00,2025-12-18 17:00:00,-2.815272583417087,-11.00523842047973,1943.554772092237
BTC/USDT,long,2025-12-22 12:00:00,2025-12-22 18:00:00,-1.3233264987947944,-5.143915063537469,1938.4108570286996
BTC/USDT,long,2025-12-29 03:00:00,2025-12-29 09:00:00,-2.395251102514271,-9.28596148484725,1929.1248955438523
BTC/USDT,long,2026-01-02 09:00:00,2026-01-04 00:00:00,1.9447872362779994,7.503474948079627,1936.628370491932
BTC/USDT,long,2026-01-04 09:00:00,2026-01-05 01:00:00,1.4888194902101581,5.766580126564655,1942.3949506184965
BTC/USDT,long,2026-01-05 15:00:00,2026-01-06 16:00:00,-1.4967864751521656,-5.814700982979248,1936.5802496355172
