timestamp,open,high,low,close,volume
2026-03-07 22:00:00,83.28,83.32,82.66,82.98,40735.668
2026-03-07 23:00:00,82.99,83.26,82.93,83.22,22459.6
2026-03-08 00:00:00,83.22,83.49,82.93,83.06,50570.392
2026-03-08 01:00:00,83.07,83.22,82.7,82.98,46972.021
2026-03-08 02:00:00,82.97,83.1,82.11,82.39,85729.662
2026-03-08 03:00:00,82.4,82.75,82.27,82.34,73458.716
2026-03-08 04:00:00,82.34,82.56,81.74,81.97,77784.722
2026-03-08 05:00:00,81.97,82.79,81.94,82.5,48694.47
2026-03-08 06:00:00,82.5,82.61,82.27,82.45,36024.004
2026-03-08 07:00:00,82.46,83.1,82.4,82.95,100258.788
2026-03-08 08:00:00,82.95,83.12,82.51,83.1,52426.94
2026-03-08 09:00:00,83.1,83.39,82.78,83.17,86398.009
2026-03-08 10:00:00,83.16,84.13,83.16,83.67,112462.162
2026-03-08 11:00:00,83.66,83.66,82.64,82.81,88942.843
2026-03-08 12:00:00,82.81,83.01,81.61,82.31,158953.223
2026-03-08 13:00:00,82.32,82.47,81.18,82.08,172664.234
2026-03-08 14:00:00,82.09,82.37,81.95,82.32,54763.253
2026-03-08 15:00:00,82.31,82.41,81.83,82.06,58026.408
2026-03-08 16:00:00,82.06,82.17,81.36,81.52,71633.842
2026-03-08 17:00:00,81.53,82.0,81.38,81.69,52595.734
2026-03-08 18:00:00,81.69,81.8,81.31,81.6,37246.073
2026-03-08 19:00:00,81.6,82.65,81.5,82.49,81555.493
2026-03-08 20:00:00,82.48,82.96,82.11,82.33,62872.965
2026-03-08 21:00:00,82.34,82.44,81.71,82.25,57079.305
2026-03-08 22:00:00,82.26,82.51,80.26,81.99,326683.312
2026-03-08 23:00:00,81.99,82.44,81.48,81.59,109169.116
2026-03-09 00:00:00,81.6,83.29,81.54,82.35,129493.989
2026-03-09 01:00:00,82.35,82.9,81.86,82.1,129359.924
2026-03-09 02:00:00,82.11,82.93,81.65,82.67,112144.389
2026-03-09 03:00:00,82.67,84.5,82.62,83.16,217327.042
2026-03-09 04:00:00,83.16,83.89,83.09,83.19,97069.2
2026-03-09 05:00:00,83.2,84.61,83.13,84.27,176351.987
2026-03-09 06:00:00,84.28,84.31,83.1,83.13,85824.206
2026-03-09 07:00:00,83.13,83.3,82.33,83.18,111173.413
2026-03-09 08:00:00,83.18,83.86,82.94,83.73,93188.375
2026-03-09 09:00:00,83.73,84.6,83.32,84.05,193765.658
2026-03-09 10:00:00,84.05,84.26,83.49,83.75,147705.72
2026-03-09 11:00:00,83.75,83.93,83.12,83.59,67034.301
2026-03-09 12:00:00,83.58,84.22,83.41,84.0,96561.37
2026-03-09 13:00:00,84.01,85.75,83.98,85.16,299402.248
2026-03-09 14:00:00,85.15,85.71,84.56,85.3,235679.216
2026-03-09 15:00:00,85.3,85.45,84.62,85.05,108533.49
2026-03-09 16:00:00,85.05,85.63,84.7,85.14,115404.62
2026-03-09 17:00:00,85.14,85.42,84.26,85.09,132680.561
2026-03-09 18:00:00,85.09,85.58,84.48,85.19,166065.752
2026-03-09 19:00:00,85.18,87.06,85.07,85.97,312517.042
2026-03-09 20:00:00,85.97,86.18,85.28,85.81,108352.279
2026-03-09 21:00:00,85.8,86.36,85.69,86.0,97905.622
2026-03-09 22:00:00,86.01,86.3,85.59,85.74,167508.306
2026-03-09 23:00:00,85.73,86.02,84.84,84.96,193008.579
2026-03-10 00:00:00,84.95,85.96,84.83,85.57,116446.234
2026-03-10 01:00:00,85.56,85.97,85.11,85.74,76889.233
2026-03-10 02:00:00,85.73,86.91,85.46,86.62,175054.95
2026-03-10 03:00:00,86.62,86.75,85.5,85.55,168758.239
2026-03-10 04:00:00,85.56,86.65,85.41,86.54,105860.265
2026-03-10 05:00:00,86.54,86.99,86.34,86.4,117416.609
2026-03-10 06:00:00,86.41,86.69,85.99,86.35,74998.15
2026-03-10 07:00:00,86.36,86.9,86.2,86.7,172974.509
2026-03-10 08:00:00,86.71,87.43,86.58,86.71,193604.098
2026-03-10 09:00:00,86.71,87.48,86.64,87.24,141536.366
2026-03-10 10:00:00,87.23,87.67,86.8,87.09,108806.993
2026-03-10 11:00:00,87.1,87.2,86.62,86.79,88893.352
2026-03-10 12:00:00,86.8,86.86,86.29,86.7,85702.794
2026-03-10 13:00:00,86.7,87.3,85.75,86.08,189494.756
2026-03-10 14:00:00,86.09,88.23,84.91,88.1,432043.456
2026-03-10 15:00:00,88.1,88.61,87.26,88.33,279778.807
2026-03-10 16:00:00,88.34,88.7,87.65,88.39,201728.708
2026-03-10 17:00:00,88.39,88.8,87.63,87.94,136159.122
2026-03-10 18:00:00,87.94,88.0,86.1,86.25,226753.453
2026-03-10 19:00:00,86.25,86.46,85.66,86.02,138125.915
2026-03-10 20:00:00,86.01,86.4,85.94,86.24,79585.123
2026-03-10 21:00:00,86.24,86.44,85.25,85.71,125270.051
2026-03-10 22:00:00,85.7,85.84,85.01,85.53,138552.299
2026-03-10 23:00:00,85.52,85.89,85.35,85.88,69461.652
2026-03-11 00:00:00,85.88,86.24,85.59,86.01,102258.222
2026-03-11 01:00:00,86.02,86.28,85.66,86.09,59592.891
2026-03-11 02:00:00,86.09,86.21,85.48,85.92,75527.398
2026-03-11 03:00:00,85.92,86.18,85.53,85.63,48879.48
2026-03-11 04:00:00,85.63,86.84,85.49,86.72,107119.153
2026-03-11 05:00:00,86.71,86.88,85.6,85.72,132761.619
2026-03-11 06:00:00,85.72,86.17,85.66,86.02,63478.709
2026-03-11 07:00:00,86.03,86.15,85.14,85.45,72691.017
2026-03-11 08:00:00,85.44,85.61,85.09,85.5,93396.321
2026-03-11 09:00:00,85.49,85.6,84.72,84.88,88856.511
2026-03-11 10:00:00,84.88,85.53,84.84,85.25,71848.529
2026-03-11 11:00:00,85.25,85.32,84.39,84.55,149408.535
2026-03-11 12:00:00,84.54,85.72,84.36,85.2,153299.061
2026-03-11 13:00:00,85.2,87.4,85.12,85.98,400330.804
2026-03-11 14:00:00,85.97,87.2,85.75,86.53,262382.483
2026-03-11 15:00:00,86.54,86.65,84.57,85.4,181137.704
2026-03-11 16:00:00,85.41,86.59,85.3,86.44,123270.968
2026-03-11 17:00:00,86.45,87.84,86.44,87.27,286565.248
2026-03-11 18:00:00,87.26,88.09,87.15,87.81,258288.118
2026-03-11 19:00:00,87.82,87.86,87.02,87.29,164934.031
2026-03-11 20:00:00,87.28,87.43,87.01,87.29,66407.715
2026-03-11 21:00:00,87.28,87.61,87.14,87.52,69125.113
2026-03-11 22:00:00,87.53,87.94,86.84,87.05,79215.466
2026-03-11 23:00:00,87.04,87.22,86.46,86.58,71400.643
2026-03-12 00:00:00,86.58,86.78,86.37,86.68,44398.309
2026-03-12 01:00:00,86.68,86.71,85.95,86.05,77895.522
2026-03-12 02:00:00,86.05,86.16,85.17,85.21,122155.34
2026-03-12 03:00:00,85.21,85.43,84.72,85.01,113250.614
2026-03-12 04:00:00,85.02,85.42,84.9,85.11,84621.659
2026-03-12 05:00:00,85.11,85.33,84.89,85.13,59426.88
2026-03-12 06:00:00,85.13,85.42,84.97,85.39,61922.485
2026-03-12 07:00:00,85.39,85.9,85.0,85.82,113800.472
2026-03-12 08:00:00,85.82,86.16,85.39,85.96,101054.374
2026-03-12 09:00:00,85.95,86.7,85.45,86.18,103503.89
2026-03-12 10:00:00,86.19,87.04,86.04,86.76,143733.523
2026-03-12 11:00:00,86.76,87.13,86.63,86.79,100204.367
2026-03-12 12:00:00,86.8,87.51,86.55,87.25,167183.352
2026-03-12 13:00:00,87.25,87.69,86.34,86.74,277091.076
2026-03-12 14:00:00,86.75,87.66,85.2,85.54,301206.294
2026-03-12 15:00:00,85.54,87.03,85.12,86.58,241985.719
2026-03-12 16:00:00,86.57,87.09,85.8,86.79,171667.75
2026-03-12 17:00:00,86.8,86.99,86.33,86.59,127410.46
2026-03-12 18:00:00,86.6,86.82,85.81,85.86,100155.805
2026-03-12 19:00:00,85.86,86.94,85.68,86.8,108672.039
2026-03-12 20:00:00,86.79,86.96,86.42,86.45,65879.289
2026-03-12 21:00:00,86.45,86.68,86.18,86.54,43379.749
2026-03-12 22:00:00,86.54,86.6,85.96,86.3,65974.118
2026-03-12 23:00:00,86.3,87.23,86.28,86.84,117108.062
2026-03-13 00:00:00,86.83,91.14,86.71,89.78,781802.591
2026-03-13 01:00:00,89.77,90.74,89.77,90.45,292699.981
2026-03-13 02:00:00,90.46,90.59,88.93,89.09,203686.501
2026-03-13 03:00:00,89.08,89.98,88.89,89.69,141724.039
2026-03-13 04:00:00,89.7,89.74,89.19,89.35,73707.147
2026-03-13 05:00:00,89.34,89.47,88.87,89.09,128059.749
2026-03-13 06:00:00,89.09,89.22,88.27,88.4,121530.81
2026-03-13 07:00:00,88.41,88.97,88.15,88.68,163550.146
2026-03-13 08:00:00,88.68,89.67,88.32,89.16,158340.177
2026-03-13 09:00:00,89.15,89.65,88.79,89.5,94880.868
2026-03-13 10:00:00,89.5,90.31,89.46,90.19,218252.637
2026-03-13 11:00:00,90.2,90.45,89.97,90.33,117541.108
2026-03-13 12:00:00,90.32,91.38,90.14,91.0,224030.936
2026-03-13 13:00:00,91.0,92.31,90.92,91.87,386101.366
