timestamp,symbol,side,price,quantity,pnl,reason,ml_score,final_tp
2026-03-27T20:38:09.569670,BTC/USDT,Long,65884.95,300.9464436943081,0,[1H Core] AI Score 0.60 >= 0.4,0.6018928873886161,68256.80819999998
2026-03-27T20:38:09.776894,ETH/USDT,Long,1983.49,280.5865616142346,0,[1H Core] AI Score 0.56 >= 0.52,0.5611731232284692,2054.8956399999997
2026-03-27T20:38:09.887568,SOL/USDT,Long,82.44,278.74011848913034,0,[1H Core] AI Score 0.56 >= 0.52,0.5574802369782607,86.72688000000001
2026-03-27T20:38:10.028297,NEAR/USDT,Long,1.171,272.05275463929667,0,[1H Core] AI Score 0.54 >= 0.4,0.5441055092785934,1.2354049999999999
2026-03-27T20:38:10.139924,AVAX/USDT,Long,8.75,282.4378004346744,0,[1H Core] AI Score 0.56 >= 0.52,0.5648756008693487,9.23125
2026-03-27T20:38:10.393611,ARB/USDT,Long,0.0901,280.1726801918043,0,[1H Core] AI Score 0.56 >= 0.52,0.5603453603836086,0.09505549999999999
2026-03-27T20:39:11.031388,BTC/USDT,Long,65884.95,298.08413939884446,0,[1H Core] AI Score 0.60 >= 0.4,0.596168278797689,68256.80819999998
2026-03-27T20:39:11.179129,ETH/USDT,Long,1983.3,280.5865616142346,0,[1H Core] AI Score 0.56 >= 0.52,0.5611731232284692,2054.6987999999997
2026-03-27T20:39:11.289667,SOL/USDT,Long,82.45,278.74011848913034,0,[1H Core] AI Score 0.56 >= 0.52,0.5574802369782607,86.73740000000001
2026-03-27T20:39:11.403276,NEAR/USDT,Long,1.171,272.0527546392966,0,[1H Core] AI Score 0.54 >= 0.4,0.5441055092785932,1.2354049999999999
2026-03-27T20:39:11.550397,AVAX/USDT,Long,8.74,291.50280273583996,0,[1H Core] AI Score 0.58 >= 0.52,0.5830056054716799,9.220699999999999
2026-03-27T20:39:11.802678,ARB/USDT,Long,0.0901,280.1726801918043,0,[1H Core] AI Score 0.56 >= 0.52,0.5603453603836086,0.09505549999999999
2026-03-27T20:40:12.640920,BTC/USDT,Long,65927.69,301.0161947016428,0,[1H Core] AI Score 0.60 >= 0.4,0.6020323894032856,68301.08683999999
2026-03-27T20:40:12.754072,ETH/USDT,Long,1983.79,280.58656161423454,0,[1H Core] AI Score 0.56 >= 0.52,0.5611731232284691,2055.2064399999995
2026-03-27T20:40:12.865914,SOL/USDT,Long,82.5,279.3044876621993,0,[1H Core] AI Score 0.56 >= 0.52,0.5586089753243986,86.79
2026-03-27T20:40:12.977004,NEAR/USDT,Long,1.172,274.539744014459,0,[1H Core] AI Score 0.55 >= 0.4,0.549079488028918,1.23646
2026-03-27T20:40:13.122007,AVAX/USDT,Long,8.75,282.43780043467433,0,[1H Core] AI Score 0.56 >= 0.52,0.5648756008693486,9.23125
2026-03-27T20:40:13.349517,ARB/USDT,Long,0.0901,275.2917278108519,0,[1H Core] AI Score 0.55 >= 0.52,0.5505834556217039,0.09505549999999999
2026-03-27T20:41:14.250652,BTC/USDT,Long,65927.69,301.0161947016428,0,[1H Core] AI Score 0.60 >= 0.4,0.6020323894032856,68301.08683999999
2026-03-27T20:41:14.359789,ETH/USDT,Long,1983.77,278.00870694295435,0,[1H Core] AI Score 0.56 >= 0.52,0.5560174138859086,2055.1857199999995
2026-03-27T20:41:14.475191,SOL/USDT,Long,82.53,275.18243084440655,0,[1H Core] AI Score 0.55 >= 0.52,0.5503648616888132,86.82156
2026-03-27T20:41:14.592168,NEAR/USDT,Long,1.172,274.539744014459,0,[1H Core] AI Score 0.55 >= 0.4,0.549079488028918,1.23646
2026-03-27T20:41:14.701035,AVAX/USDT,Long,8.75,282.4378004346744,0,[1H Core] AI Score 0.56 >= 0.52,0.5648756008693487,9.23125
2026-03-27T20:42:15.835352,BTC/USDT,Long,65913.5,293.26619470164286,0,[1H Core] AI Score 0.59 >= 0.4,0.5865323894032857,68286.38599999998
2026-03-27T20:42:15.956181,ETH/USDT,Long,1982.8,278.00870694295435,0,[1H Core] AI Score 0.56 >= 0.52,0.5560174138859088,2054.1807999999996
2026-03-27T20:42:16.065206,SOL/USDT,Long,82.52,277.94169463593,0,[1H Core] AI Score 0.56 >= 0.52,0.55588338927186,86.81104
2026-03-27T20:42:16.176693,NEAR/USDT,Long,1.173,280.64508768741564,0,[1H Core] AI Score 0.56 >= 0.4,0.5612901753748313,1.237515
2026-03-27T20:42:16.312668,AVAX/USDT,Long,8.74,291.50280273584,0,[1H Core] AI Score 0.58 >= 0.52,0.58300560547168,9.220699999999999
2026-03-27T20:43:17.255440,BTC/USDT,Long,65941.97,296.7953426837056,0,[1H Core] AI Score 0.59 >= 0.4,0.5935906853674112,68315.88091999998
2026-03-27T20:43:17.371016,ETH/USDT,Long,1984.14,278.9338783618902,0,[1H Core] AI Score 0.56 >= 0.52,0.5578677567237804,2055.56904
2026-03-27T20:43:17.516361,SOL/USDT,Long,82.58,272.42028978949855,0,[1H Core] AI Score 0.54 >= 0.52,0.5448405795789971,86.87416
2026-03-27T20:43:17.663711,NEAR/USDT,Long,1.175,290.5228596074115,0,[1H Core] AI Score 0.58 >= 0.4,0.581045719214823,1.239625
2026-03-27T20:43:17.776565,AVAX/USDT,Long,8.75,282.4378004346744,0,[1H Core] AI Score 0.56 >= 0.52,0.5648756008693487,9.23125
2026-03-27T20:44:18.570730,BTC/USDT,Long,65904.63,290.47922489119134,0,[1H Core] AI Score 0.58 >= 0.4,0.5809584497823826,68277.19668
2026-03-27T20:44:18.684978,ETH/USDT,Long,1982.2,282.13378049019974,0,[1H Core] AI Score 0.56 >= 0.52,0.5642675609803994,2053.5591999999997
2026-03-27T20:44:18.797402,SOL/USDT,Long,82.56,275.8214964259992,0,[1H Core] AI Score 0.55 >= 0.52,0.5516429928519985,86.85312
2026-03-27T20:44:18.912773,NEAR/USDT,Long,1.175,290.5228596074116,0,[1H Core] AI Score 0.58 >= 0.4,0.5810457192148232,1.239625
2026-03-27T20:44:19.032153,AVAX/USDT,Long,8.75,282.4378004346744,0,[1H Core] AI Score 0.56 >= 0.52,0.5648756008693487,9.23125
2026-03-27T20:45:19.944217,BTC/USDT,Long,65900.44,286.16104307300935,0,[1H Core] AI Score 0.57 >= 0.4,0.5723220861460188,68272.85583999999
2026-03-27T20:45:20.084128,ETH/USDT,Long,1982.17,282.1337804901998,0,[1H Core] AI Score 0.56 >= 0.52,0.5642675609803995,2053.5281199999995
2026-03-27T20:45:20.191758,SOL/USDT,Long,82.56,275.82149642599927,0,[1H Core] AI Score 0.55 >= 0.52,0.5516429928519986,86.85312
2026-03-27T20:45:20.297729,NEAR/USDT,Long,1.174,278.95940687630446,0,[1H Core] AI Score 0.56 >= 0.4,0.5579188137526089,1.23857
2026-03-27T20:45:20.405219,AVAX/USDT,Long,8.75,282.4378004346744,0,[1H Core] AI Score 0.56 >= 0.52,0.5648756008693487,9.23125
2026-03-27T20:46:21.221463,BTC/USDT,Long,65914.32,290.4792248911912,0,[1H Core] AI Score 0.58 >= 0.4,0.5809584497823824,68287.23551999999
2026-03-27T20:46:21.331031,ETH/USDT,Long,1981.96,286.1182336574226,0,[1H Core] AI Score 0.57 >= 0.52,0.5722364673148452,2053.3105599999994
