rsi_th,ema_f,ema_s,sl_mult,score,profit,wr,mdd
35,60,200,2.5,28874.71937243432,1010.6151780352011,0.5714285714285714,0.019999999999999997
35,60,150,2.5,28874.71937243432,1010.6151780352011,0.5714285714285714,0.019999999999999997
35,60,150,2.0,28874.71937243394,1010.6151780351884,0.5714285714285714,0.020000000000000007
